id;name;phone;age;address;accesscode;task;carerassigned
1;reciprocal withdrawal;47270;154;Fresh Handcrafted Island;41487;disintermediate plug-and-play envisioneer;Coordinator world-class Adaptive
2;capacitor hard;28839;79;programming Avon neural;42622;quantify virtual;Security quantify uniform
3;e-markets Corporate;13573;23;Associate Taiwan;13754;grey;Mill Licensed Music
4;Plastic Multi-layered;67206;166;context-sensitive Plastic encoding;55479;Grocery;Interactions Enhanced
5;Granite Agent overriding;30317;126;Plastic Small;68879;Solutions;leverage Pants
6;Market Gorgeous;91335;72;withdrawal Wooden;86717;wireless COM Licensed;Supervisor Account Branding
7;Checking;3829;143;Cambridgeshire Berkshire SQL;5535;IB array technologies;expedite Bedfordshire Director
8;gold Japan;14721;166;Interactions;77471;withdrawal Mouse;Savings program hack
9;Dinar withdrawal navigate;20332;155;payment Ergonomic FTP;72127;firewall Ruble;reintermediate networks
10;Investor;45231;196;Morocco;29207;Chair vortals SMS;Korean Berkshire compressing
